City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Hitoyoshi,JP,32.2167,130.75,67.64,56,100,2.44,overcast clouds
261,Buala,SB,-8.145,159.5921,85.05,70,36,4.41,light rain
262,Katherine,AU,-14.4667,132.2667,84.52,39,100,13.8,overcast clouds
263,Mazyr,BY,52.0495,29.2456,43.0,95,62,6.13,broken clouds
264,Touros,BR,-5.1989,-35.4608,75.09,92,24,12.33,few clouds
265,Grand Gaube,MU,-20.0064,57.6608,73.8,77,0,1.99,clear sky
266,Andenes,NO,69.3143,16.1194,44.58,93,100,2.3,overcast clouds
267,Juneau,US,58.3019,-134.4197,61.84,42,99,2.04,overcast clouds
268,Zamberk,CZ,50.086,16.4674,46.22,85,14,3.15,few clouds
269,Asau,RO,46.4333,26.4,51.28,90,100,2.26,overcast clouds
270,Ust-Tsilma,RU,65.441,52.1498,30.42,95,100,13.65,snow
271,Yabelo,ET,4.8833,38.0833,58.53,83,91,3.44,overcast clouds
272,Bandarbeyla,SO,9.4942,50.8122,80.58,80,100,17.2,overcast clouds
273,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
274,Montrose,US,38.4166,-108.2673,60.21,18,100,13.4,overcast clouds
275,Santa Cruz,BO,-17.8,-63.1667,65.43,83,48,7.11,scattered clouds
276,Kemi,FI,65.8596,24.8228,38.97,81,0,3.44,clear sky
277,Tasiilaq,GL,65.6145,-37.6368,33.96,99,100,11.39,snow
278,Pontalina,BR,-17.525,-49.4472,59.59,51,1,2.04,clear sky
279,Lagoa,PT,39.05,-27.9833,61.45,91,100,13.42,light rain
280,Husavik,IS,66.0449,-17.3389,37.83,96,100,7.7,overcast clouds
281,Yeppoon,AU,-23.1333,150.7333,71.38,80,100,17.27,overcast clouds
282,Sinjar,IQ,36.3209,41.8754,65.07,35,45,21.36,scattered clouds
283,Diffa,NE,13.3154,12.6113,84.15,16,7,7.94,clear sky
284,Bagdarin,RU,54.4333,113.6,48.49,61,88,5.57,overcast clouds
285,Istmina,CO,5.1605,-76.684,75.0,97,100,2.44,moderate rain
286,Lorengau,PG,-2.0226,147.2712,85.93,63,95,13.44,overcast clouds
287,Tarauaca,BR,-8.1614,-70.7656,71.26,93,48,1.7,scattered clouds
288,Inhambane,MZ,-23.865,35.3833,67.78,92,95,2.28,moderate rain
289,Srandakan,ID,-7.9386,110.2506,80.91,76,98,4.38,overcast clouds
