City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Mayo,US,73.35,heavy intensity rain,38.8876,-76.5119,Resorts Resource Group International
529,Longyan,CN,69.21,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
530,North Bend,US,67.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
534,Port-Gentil,GA,77.63,broken clouds,-0.7193,8.7815,Fengshui Residence
535,Alofi,NU,79.93,clear sky,-19.0595,-169.9187,Taloa Heights
536,Sungaipenuh,ID,71.26,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
537,Warangal,IN,87.35,clear sky,18.0,79.5833,Capital O 66968 Haveli The Landmark
538,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
539,Abu Kamal,SY,70.86,overcast clouds,34.4506,40.9171,البوكمال
541,Sambava,MG,73.0,light rain,-14.2667,50.1667,Melrose
544,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
547,Tottori,JP,67.17,clear sky,35.5,134.2333,Hotel Monarque Tottori
551,Bonthe,SL,78.21,light rain,7.5264,-12.505,Bonthe Holiday Village
553,Ibra,OM,81.19,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
558,Naze,JP,70.18,overcast clouds,28.3667,129.4833,Shishime Hotel
559,Road Town,VG,79.97,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
560,Vao,NC,75.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
561,Porto Novo,BJ,75.58,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
564,Saint-Francois,FR,69.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
565,Faanui,PF,81.09,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
567,Puerto Cabezas,NI,78.57,overcast clouds,14.0351,-83.3888,Cabaña Caribe
568,Pundaguitan,PH,82.71,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
570,Mahibadhoo,MV,83.21,scattered clouds,3.7833,72.9667,Omadhoo Inn
574,Portland,US,73.69,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
576,Hit,IQ,78.42,overcast clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
578,Lumphat,KH,75.31,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
579,Vieste,IT,70.18,overcast clouds,41.8825,16.175,Hotel Falcone
580,Marawi,PH,75.6,overcast clouds,7.9986,124.2928,Derogongan Residence
587,Jackson,US,75.04,overcast clouds,42.4165,-122.8345,Agate Village Apartments
588,Hinche,HT,73.74,broken clouds,19.15,-72.0167,«Petites Soeurs de l'Incarnation»
593,Muroto,JP,70.84,overcast clouds,33.2833,134.15,Oota Ryokan
594,Hun,LY,72.66,clear sky,29.1268,15.9477,Alrwasi Hotel
596,Malakal,SS,77.59,overcast clouds,9.5334,31.6605,Nile Palace Hotel
599,Mabaruma,GY,71.56,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
